date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-05-01 19:40:00,6.073,9.04,1.448,2.538,2.371,3.455
2019-05-01 19:50:00,8.01,7.361,2.134,1.991,4.511,5.492
2019-05-01 20:00:00,5.96,5.881,3.142,1.682,4.831,6.466
2019-05-01 20:10:00,8.98,5.942,3.766,3.039,4.638,5.32
2019-05-01 20:20:00,6.056,6.576,4.517,1.547,4.339,5.483
2019-05-01 20:30:00,5.133,5.782,1.628,1.189,4.244,5.043
2019-05-01 20:40:00,8.58,4.032,2.287,1.444,2.695,4.277
2019-05-01 20:50:00,9.16,8.86,2.447,2.549,4.296,3.109
2019-05-01 21:00:00,6.41,10.34,3.92,2.201,2.695,3.627
2019-05-01 21:10:00,3.995,6.545,3.506,1.23,3.22,6.103
2019-05-01 21:20:00,6.942,3.204,3.416,1.286,2.828,4.558
2019-05-01 21:30:00,8.48,5.837,2.797,3.053,2.301,3.468
2019-05-01 21:40:00,7.253,8.34,3.219,1.994,4.74,5.853
2019-05-01 21:50:00,6.526,8.33,2.94,1.578,4.807,5.146
2019-05-01 22:00:00,7.387,6.955,3.414,2.041,2.709,4.033
2019-05-01 22:10:00,7.655,7.731,4.223,2.465,5.768,4.93
2019-05-01 22:20:00,7.594,9.04,3.535,3.052,5.443,8.26
2019-05-01 22:30:00,5.215,4.152,3.364,2.905,8.85,4.553
2019-05-01 22:40:00,6.769,10.34,4.373,4.247,8.3,3.945
2019-05-01 22:50:00,5.308,7.122,2.902,4.496,6.674,4.557
2019-05-01 23:00:00,5.591,3.893,3.997,5.681,5.484,6.623
2019-05-01 23:10:00,7.654,2.542,3.336,3.99,7.085,4.296
2019-05-01 23:20:00,4.96,6.423,3.368,4.346,5.207,6.884
2019-05-01 23:30:00,7.321,4.945,5.203,3.791,6.648,5.727
2019-05-01 23:40:00,6.886,5.693,3.701,5.823,8.02,3.709
2019-05-01 23:50:00,6.775,4.279,4.65,3.704,7.018,5.679
2019-05-02 00:00:00,5.131,5.079,4.642,4.148,4.705,5.354
2019-05-02 00:10:00,4.692,7.522,3.906,4.438,5.604,6.043
2019-05-02 00:20:00,6.026,6.313,3.85,1.973,6.939,5.327
2019-05-02 00:30:00,5.444,4.5,4.125,2.643,6.253,5.054
2019-05-02 00:40:00,5.825,3.486,4.646,4.392,4.648,2.793
2019-05-02 00:50:00,5.858,4.701,5.094,3.009,5.808,4.778
2019-05-02 01:00:00,6.938,5.718,6.063,3.033,6.004,5.107
2019-05-02 01:10:00,4.633,6.432,7.431,2.362,4.518,4.384
2019-05-02 01:20:00,4.276,7.022,6.148,2.619,3.746,4.419
2019-05-02 01:30:00,6.656,4.891,6.578,2.034,5.522,5.976
2019-05-02 01:40:00,5.61,7.408,6.118,3.164,6.074,5.875
2019-05-02 01:50:00,6.352,4.523,6.799,3.23,5.745,6.28
2019-05-02 02:00:00,6.208,6.61,5.06,4.013,5.185,6.358
2019-05-02 02:10:00,5.791,7.701,5.24,2.737,3.914,5.321
2019-05-02 02:20:00,3.47,8.07,5.806,2.068,4.196,3.973
2019-05-02 02:30:00,3.605,7.147,6.559,2.392,4.196,4.402
2019-05-02 02:40:00,3.069,6.195,7.257,3.532,1.693,5.595
2019-05-02 02:50:00,2.219,6.524,7.859,4.57,1.374,6.19
2019-05-02 03:00:00,3.424,6.926,5.24,3.785,0.974,7.154
2019-05-02 03:10:00,3.099,8.1,6.195,4.316,2.32,7.545
2019-05-02 03:20:00,1.921,7.448,7.38,5.194,3.375,7.287
2019-05-02 03:30:00,2.312,7.042,7.81,5.532,3.181,7.662
2019-05-02 03:40:00,5.778,5.883,8.12,5.749,3.589,7.694
2019-05-02 03:50:00,7.092,4.162,7.744,6.009,5.48,7.355
2019-05-02 04:00:00,7.692,1.997,7.926,6.213,6.072,6.843
2019-05-02 04:10:00,7.27,2.058,9.02,6.237,4.229,2.782
2019-05-02 04:20:00,8.35,2.146,8.27,6.635,4.74,1.347
2019-05-02 04:30:00,7.958,2.931,8.91,5.71,4.422,0.567
2019-05-02 04:40:00,8.97,4.546,7.907,5.702,3.899,0.147
2019-05-02 04:50:00,8.08,4.326,8.39,5.211,3.624,1.26
2019-05-02 05:00:00,8.48,4.112,9.82,6.423,2.5,1.899
2019-05-02 05:10:00,7.069,6.26,8.75,6.377,3.079,0.335
2019-05-02 05:20:00,6.752,7.458,6.59,5.89,3.132,0.064
2019-05-02 05:30:00,5.788,5.034,7.674,5.107,3.711,1.284
2019-05-02 05:40:00,5.783,6.789,8.63,4.638,3.211,3.549
2019-05-02 05:50:00,5.873,7.436,8.71,4.152,3.222,3.919
2019-05-02 06:00:00,6.604,7.53,8.9,5.042,3.054,3.549
2019-05-02 06:10:00,6.641,5.921,8.63,5.263,3.204,4.401
2019-05-02 06:20:00,6.016,5.222,9.23,4.934,4.115,4.016
2019-05-02 06:30:00,6.153,6.662,8.49,5.147,3.668,3.329
2019-05-02 06:40:00,6.658,8.36,9.31,5.448,4.007,3.444
2019-05-02 06:50:00,5.883,8.6,8.56,5.611,3.394,1.951
2019-05-02 07:00:00,6.43,4.005,8.49,5.638,3.493,2.79
2019-05-02 07:10:00,9.15,5.584,8.19,5.597,2.876,2.474
2019-05-02 07:20:00,7.992,9.3,8.47,5.364,2.83,0.503
2019-05-02 07:30:00,9.33,9.3,7.57,5.428,3.544,2.472
2019-05-02 07:40:00,8.59,5.471,7.183,5.98,3.348,2.28
2019-05-02 07:50:00,7.15,5.395,8.14,5.731,3.565,0.362
2019-05-02 08:00:00,7.416,5.957,8.75,5.993,2.774,0.391
2019-05-02 08:10:00,5.496,5.621,9.04,5.544,2.922,2.25
2019-05-02 08:20:00,6.516,6.606,10.51,6.468,3.734,5.587
2019-05-02 08:30:00,7.945,6.167,10.54,7.087,3.975,7.418
2019-05-02 08:40:00,5.554,4.351,10.16,7.544,3.918,6.134
2019-05-02 08:50:00,7.95,2.818,10.11,6.942,3.466,6.683
2019-05-02 09:00:00,7.261,2.176,9.95,6.244,4.04,6.822
2019-05-02 09:10:00,6.941,3.769,10.47,6.648,4.213,6.329
2019-05-02 09:20:00,7.028,1.98,11.84,7.032,3.472,6.019
2019-05-02 09:30:00,7.482,1.659,11.54,6.382,3.201,5.28
2019-05-02 09:40:00,6.765,1.585,10.99,6.491,3.817,6.197
2019-05-02 09:50:00,6.343,1.02,11.7,6.618,3.898,6.908
2019-05-02 10:00:00,6.884,0.457,11.02,6.459,3.781,6.506
2019-05-02 10:10:00,5.192,3.157,11.45,5.443,2.394,5.738
2019-05-02 10:20:00,5.969,2.196,11.81,5.51,2.63,5.943
2019-05-02 10:30:00,5.701,2.535,11.3,4.716,3.386,6.454
2019-05-02 10:40:00,4.736,2.41,10.78,4.418,5.562,6.005
2019-05-02 10:50:00,4.231,1.725,10.45,3.141,3.133,6.858
2019-05-02 11:00:00,5.082,6.772,9.34,2.624,5.032,7.169
2019-05-02 11:10:00,5.951,9.09,9.92,2.836,3.633,6.028
2019-05-02 11:20:00,2.404,8.4,9.9,3.614,3.23,5.087
2019-05-02 11:30:00,4.54,6.312,10.3,2.959,2.667,6.18
2019-05-02 11:40:00,2.192,6.079,9.37,2.175,3.56,5.1
2019-05-02 11:50:00,2.334,2.291,8.22,1.906,2.973,4.027
2019-05-02 12:00:00,2.558,2.765,9.31,2.237,2.625,4.264
2019-05-02 12:10:00,4.222,3.837,7.985,3.092,2.482,4.464
2019-05-02 12:20:00,4.567,6.343,7.924,3.274,2.078,6.04
2019-05-02 12:30:00,6.723,6.926,6.937,4.719,1.075,6.956
2019-05-02 12:40:00,4.574,7.309,6.461,3.57,0.643,6.963
2019-05-02 12:50:00,4.232,7.002,5.895,2.316,1.601,7.136
2019-05-02 13:00:00,2.321,6.747,5.586,2.635,1.457,6.981
2019-05-02 13:10:00,2.874,6.915,6.429,2.673,2.395,6.048
2019-05-02 13:20:00,1.626,5.731,9.56,2.657,2.514,5.903
2019-05-02 13:30:00,1.504,5.032,9.4,2.967,2.238,6.663
2019-05-02 13:40:00,2.637,2.417,8.97,4.441,2.37,6.304
2019-05-02 13:50:00,1.871,4.07,9.81,5.322,1.262,4.432
2019-05-02 14:00:00,0.853,3.215,11.63,5.981,2.599,2.651
2019-05-02 14:10:00,0.855,4.414,11.89,6.841,5.247,1.101
2019-05-02 14:20:00,2.541,4.044,12.71,6.569,4.883,2.052
2019-05-02 14:30:00,1.444,1.062,14.14,7.163,5.688,3.12
2019-05-02 14:40:00,1.087,1.628,14.47,6.431,5.76,2.706
2019-05-02 14:50:00,3.303,2.718,13.45,7.582,3.92,2.881
2019-05-02 15:00:00,4.472,2.319,14.84,5.339,3.459,2.486
2019-05-02 15:10:00,5.272,1.575,11.88,4.858,2.316,1.98
2019-05-02 15:20:00,4.082,2.371,13.19,3.956,0.62,2.103
2019-05-02 15:30:00,4.405,2.423,11.79,3.858,1.493,1.374
2019-05-02 15:40:00,1.796,2.906,10.77,3.349,2.783,1.479
2019-05-02 15:50:00,3.033,4.631,9.89,2.575,3.01,1.047
2019-05-02 16:00:00,3.275,3.524,10.4,3.355,2.938,2.737
2019-05-02 16:10:00,3.939,2.476,9.16,4.034,3.117,1.76
2019-05-02 16:20:00,3.599,3.154,9.22,5.29,3.084,2.061
2019-05-02 16:30:00,4.052,3.221,8.39,5.147,1.659,2.805
